obs,buy_depvar,date,income,is_female,is_married,has_college,is_pro,is_retired,unemployed,residence_length,dual_income,minors,own,house,white,english,prev_child_mag,prev_parent_mag
89,0,1/1/2020,42000,0,0,1,1,0,0,35,0,0,0,0,0,0,0,0
90,0,1/1/2020,15000,0,0,1,1,0,0,26,0,0,0,0,0,1,0,0
91,0,1/1/2020,6000,0,0,0,0,0,0,19,0,0,1,1,1,1,0,0
92,1,1/1/2020,73000,0,0,0,0,0,0,42,0,1,0,1,1,1,0,0
93,1,1/1/2020,75000,1,1,1,1,0,0,25,1,0,1,1,1,1,0,0
94,0,1/1/2020,25000,1,0,0,0,0,0,28,0,1,0,0,1,1,0,0
95,0,1/1/2020,8000,1,0,0,0,0,0,12,0,1,0,1,1,1,0,0
96,1,1/1/2020,75000,0,1,1,1,0,0,25,1,0,1,1,1,1,0,0
97,0,1/1/2020,44000,1,1,0,0,0,0,36,1,1,1,0,0,1,0,0
98,0,1/1/2020,27000,0,1,1,1,0,0,18,1,0,0,1,1,1,1,0
99,0,1/1/2020,7000,0,0,0,0,0,0,16,0,1,0,1,1,1,0,1
100,0,1/1/2020,61000,0,1,0,1,0,0,5,1,1,0,0,1,1,1,0
101,0,1/1/2020,70000,0,1,0,0,1,0,57,0,0,1,1,1,1,0,0
102,1,1/1/2020,70000,0,1,0,1,0,0,8,0,1,0,1,1,1,0,0
103,0,1/1/2020,1000,1,0,0,0,0,0,15,0,1,0,1,1,1,0,0
104,0,1/1/2020,22000,1,0,1,1,0,0,4,0,0,0,0,1,1,0,0
105,0,1/1/2020,23000,1,0,0,1,0,0,33,0,0,0,0,1,1,0,0
106,1,1/1/2020,61000,1,1,0,0,0,0,28,1,0,1,1,1,1,1,0
107,0,1/1/2020,75000,0,0,1,1,0,0,28,0,0,0,1,0,0,0,0
108,0,1/1/2020,46000,1,0,1,1,0,0,36,0,0,1,1,1,1,0,0
109,0,1/1/2020,49000,0,0,1,0,0,0,18,0,0,1,1,0,1,0,0
110,0,1/1/2020,23000,0,0,1,1,0,0,6,0,0,0,0,1,1,0,0
111,1,1/1/2020,59000,1,1,1,1,0,0,41,1,1,1,1,1,1,0,1
112,0,1/1/2020,30000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
113,0,1/1/2020,38000,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0
114,0,1/1/2020,9000,1,0,0,0,0,0,3,0,1,0,1,1,1,0,0
115,0,1/1/2020,21000,1,1,0,1,0,0,52,1,0,0,1,0,1,0,0
116,0,1/1/2020,49000,1,0,0,1,0,0,24,0,0,1,0,1,1,0,0
117,0,1/1/2020,61000,1,1,1,1,0,0,33,1,0,1,1,0,1,0,0
118,0,1/1/2020,14000,1,0,0,0,1,0,44,0,0,1,1,1,1,0,1
119,1,1/1/2020,75000,0,1,1,1,0,0,45,1,1,1,1,1,1,0,0
120,0,1/1/2020,40000,0,1,0,0,0,0,13,0,0,1,1,1,1,0,0
121,1,1/1/2020,59000,1,1,0,1,0,0,24,1,0,1,1,1,1,0,0
122,1,1/1/2020,75000,1,1,1,1,0,0,11,1,1,1,1,1,1,1,0
123,1,1/1/2020,57000,1,1,1,1,0,0,21,1,0,0,0,1,1,0,0
124,0,1/1/2020,23000,0,1,0,0,0,0,12,0,1,0,1,0,0,0,0
125,1,1/1/2020,73000,1,1,0,0,1,0,25,0,0,1,1,1,1,0,0
126,0,1/1/2020,43000,1,0,1,1,0,0,36,0,0,0,0,1,1,0,1
127,0,1/1/2020,30000,1,0,0,0,0,0,35,0,0,0,0,1,1,0,0
128,1,1/1/2020,75000,0,0,1,1,0,0,9,0,0,0,0,1,1,0,0
129,1,1/1/2020,75000,1,0,1,1,0,0,3,1,0,0,0,1,1,0,0
130,0,1/1/2020,41000,0,1,0,1,0,0,15,0,1,1,1,1,1,0,0
131,0,1/1/2020,6000,1,0,0,0,0,0,2,0,0,0,0,1,1,1,0
132,1,1/1/2020,75000,1,0,1,1,0,0,51,0,1,0,1,1,1,0,0
133,0,1/1/2020,36000,1,1,0,0,0,0,3,1,1,0,1,1,1,0,0
134,1,1/1/2020,75000,0,1,1,1,0,0,11,1,0,1,1,1,1,0,0
135,0,1/1/2020,26000,0,0,0,1,0,0,20,0,0,0,0,1,1,0,0
136,0,1/1/2020,33000,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0
137,0,1/1/2020,37000,1,0,1,1,0,0,8,0,0,0,0,1,1,0,0
138,0,1/1/2020,19000,1,0,0,1,0,0,11,0,0,0,0,1,1,0,0
139,0,1/1/2020,19000,0,0,0,0,0,0,19,0,0,0,0,1,1,1,0
140,0,1/1/2020,0,0,0,1,0,0,0,2,1,0,0,0,1,1,0,0
141,0,1/1/2020,50000,0,0,1,1,0,0,30,0,0,1,1,0,0,0,0
142,0,1/1/2020,48000,0,1,0,0,0,0,22,1,1,1,1,0,0,0,0
143,0,1/1/2020,75000,0,1,0,0,1,0,14,0,0,1,1,1,1,0,0
144,0,1/1/2020,2000,1,0,0,0,1,0,2,0,0,1,0,1,1,0,0
145,0,1/1/2020,10000,1,0,0,0,1,0,8,0,0,0,0,1,1,0,0
146,0,1/1/2020,49000,0,0,0,1,0,0,18,0,0,0,0,1,1,0,0
147,0,1/1/2020,26000,0,0,1,1,0,0,3,0,0,0,0,1,1,0,0
148,0,1/1/2020,6000,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0
149,0,1/1/2020,32000,0,1,0,0,0,0,24,1,0,1,1,1,1,0,0
150,0,1/1/2020,49000,1,1,0,0,0,0,21,1,0,1,1,1,1,0,0
151,0,1/1/2020,33000,1,1,1,0,0,0,27,0,1,1,1,1,1,0,0
152,0,1/1/2020,61000,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1
153,0,1/1/2020,6000,1,0,0,0,0,0,18,0,1,0,1,1,1,0,0
154,0,1/1/2020,10000,1,0,0,0,0,1,20,0,1,0,1,1,1,0,0
155,0,1/1/2020,2000,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0
156,0,1/1/2020,61000,0,0,0,1,0,0,17,0,0,0,0,1,1,0,0
157,0,1/1/2020,31000,0,0,0,0,0,0,10,0,0,0,1,0,1,0,0
158,0,1/1/2020,13000,1,0,0,0,0,0,15,0,1,0,1,1,1,0,0
159,0,1/1/2020,6000,1,0,0,0,0,0,15,0,1,0,1,1,1,0,0
160,0,1/1/2020,15000,0,0,0,0,0,0,8,0,1,0,1,0,1,0,0
161,0,1/1/2020,3000,0,0,0,0,0,0,16,0,1,0,1,1,1,0,0
162,0,1/1/2020,15000,1,0,0,0,0,0,33,0,0,0,0,0,1,0,0
163,0,1/1/2020,27000,1,0,1,1,0,0,18,0,0,0,0,0,1,0,0
164,0,1/1/2020,2000,0,1,1,0,0,0,26,1,0,0,0,0,1,0,0
165,0,1/1/2020,31000,1,0,1,1,0,0,18,0,0,1,1,1,1,0,0
166,0,1/1/2020,0,0,0,0,0,0,0,11,0,0,0,1,0,1,0,0
167,0,1/1/2020,2000,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
168,0,1/1/2020,37000,0,0,0,0,0,0,19,0,1,0,0,0,1,0,0
169,0,1/1/2020,54000,0,1,1,1,0,0,37,0,0,1,1,1,1,0,0
170,0,1/1/2020,4000,1,0,0,0,0,0,17,0,1,0,1,1,1,1,0
171,0,1/1/2020,8000,1,0,1,0,0,0,38,0,0,0,1,1,1,1,0
172,0,1/1/2020,57000,0,0,0,0,0,0,25,0,1,0,1,1,1,0,0
173,0,1/1/2020,0,1,0,0,0,0,0,17,0,1,0,1,1,1,1,0
174,0,1/1/2020,34000,1,1,0,0,0,0,27,1,0,0,1,1,1,0,0
175,0,1/1/2020,48000,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0
176,0,1/1/2020,28000,0,0,0,0,0,0,11,0,1,0,1,0,0,0,0
177,0,1/1/2020,1000,1,0,0,0,0,1,15,0,1,0,1,0,0,0,0
178,0,1/1/2020,33000,0,0,1,1,0,0,24,0,0,0,1,1,1,0,0
179,0,1/1/2020,19000,1,1,0,0,1,0,14,0,0,1,1,1,1,0,0
180,0,1/1/2020,24000,1,0,0,0,0,0,31,0,0,0,0,0,1,0,0
181,0,1/1/2020,25000,0,0,0,0,0,0,30,0,0,0,1,1,1,0,0
182,0,1/1/2020,48000,0,0,1,1,0,0,9,0,0,1,1,0,1,0,0
183,1,1/1/2020,75000,1,0,0,0,1,0,57,0,0,1,0,1,1,0,0
184,1,1/1/2020,58000,1,1,1,0,0,0,8,1,0,1,1,1,1,0,1
185,0,1/1/2020,1000,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0
186,0,1/1/2020,0,1,0,0,0,0,0,14,0,1,0,1,1,1,0,0
187,1,1/1/2020,67000,1,1,0,0,0,0,23,1,0,1,1,1,1,0,0
188,0,1/1/2020,7000,1,0,1,0,0,0,4,0,0,0,0,1,1,0,0
189,0,1/1/2020,7000,1,0,0,0,0,0,16,0,0,0,1,1,1,0,1
190,1,1/1/2020,75000,0,1,1,0,0,0,5,1,0,1,1,1,1,0,1
191,0,1/1/2020,53000,1,1,0,0,0,0,17,1,0,1,1,1,1,0,0
192,0,1/1/2020,9000,1,0,0,0,0,0,13,0,0,0,1,0,0,0,0
193,0,1/1/2020,44000,1,0,0,1,0,0,7,0,0,0,1,1,1,0,0
194,1,1/1/2020,75000,1,0,0,0,0,0,3,0,0,0,0,1,1,0,0
195,0,1/1/2020,36000,0,1,0,0,0,0,37,1,0,1,1,1,1,0,0
196,0,1/1/2020,3000,0,0,1,0,0,0,63,0,0,0,0,1,1,0,0
197,0,1/1/2020,27000,1,0,0,1,0,0,58,0,0,1,1,1,1,0,0
198,0,1/1/2020,8000,1,0,0,0,0,0,16,0,1,0,1,1,1,0,0
199,0,1/1/2020,52000,1,1,0,0,0,0,21,0,0,1,1,1,0,0,0
200,0,1/1/2020,34000,0,1,0,1,0,0,27,0,1,0,1,1,1,0,0
201,0,1/1/2020,10000,1,0,0,0,0,0,14,0,1,0,1,0,1,0,0
202,0,1/1/2020,32000,0,0,0,1,0,0,12,0,0,0,0,1,1,0,0
203,0,1/1/2020,16000,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
204,0,1/1/2020,21000,1,0,1,1,0,0,3,0,0,0,0,1,1,0,0
205,0,1/1/2020,49000,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0
206,1,1/1/2020,75000,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1
207,0,1/1/2020,27000,0,0,1,1,0,0,2,0,0,0,0,1,1,0,0
208,0,1/1/2020,9000,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
209,0,1/1/2020,9000,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
210,1,1/1/2020,49000,1,1,0,0,0,0,25,1,1,1,1,0,1,0,0
211,0,1/1/2020,48000,1,0,0,1,0,0,5,0,1,0,0,0,1,0,0
212,1,1/1/2020,61000,1,1,0,0,0,0,22,0,1,1,1,1,1,0,0
213,0,1/1/2020,15000,0,1,0,0,1,0,20,0,0,1,1,1,1,0,0
214,0,1/1/2020,31000,1,1,1,0,0,1,16,1,0,1,1,1,1,0,0
215,0,1/1/2020,31000,1,0,0,0,0,0,15,0,0,0,1,1,1,0,0
216,0,1/1/2020,9000,1,0,0,0,0,0,21,0,0,0,1,1,1,0,0
217,0,1/1/2020,10000,1,0,0,0,0,1,18,0,0,0,1,1,1,0,0
218,0,1/1/2020,12000,0,0,1,1,0,0,8,0,0,0,0,1,1,0,0
219,0,1/1/2020,11000,1,0,0,1,0,0,13,0,0,0,0,1,1,0,0
220,0,1/1/2020,12000,0,0,0,1,0,0,23,0,0,0,0,1,0,0,0
221,0,1/1/2020,14000,1,0,0,0,0,0,8,0,0,0,0,1,1,0,1
222,0,1/1/2020,7000,1,0,0,0,0,0,10,0,0,0,0,1,1,0,0
223,0,1/1/2020,23000,0,0,1,0,0,0,4,0,0,0,0,1,1,0,1
224,0,1/1/2020,28000,0,0,0,0,0,0,33,0,0,0,1,0,0,0,0
225,0,1/1/2020,10000,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0
226,0,1/1/2020,38000,1,1,0,0,0,0,56,0,1,1,1,0,1,0,0
227,1,1/1/2020,67000,1,0,0,0,0,0,9,0,1,0,1,1,1,0,0
228,0,1/1/2020,38000,1,0,1,1,0,0,2,0,0,1,1,1,1,0,0
229,0,1/1/2020,7000,0,0,0,0,0,0,5,0,1,0,1,0,1,0,0
230,0,1/1/2020,18000,0,0,0,0,0,0,8,0,0,0,1,1,1,1,0
231,0,1/1/2020,50000,0,0,0,0,0,0,34,0,1,1,1,0,1,0,0
232,0,1/1/2020,23000,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
233,0,1/1/2020,6000,0,0,0,0,0,0,21,0,1,0,1,1,1,0,0
234,1,1/1/2020,75000,1,1,1,1,0,0,46,1,0,1,1,1,1,0,0
235,0,1/1/2020,41000,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0
236,0,1/1/2020,48000,1,1,0,0,0,0,23,1,0,1,1,1,1,0,0
237,0,1/1/2020,54000,1,0,0,0,0,0,36,0,1,0,1,1,1,0,0
238,0,1/1/2020,41000,1,1,0,0,0,0,16,0,0,1,1,1,1,0,0
239,0,1/1/2020,30000,1,0,0,0,1,0,3,0,0,1,0,0,1,1,0
240,1,1/1/2020,75000,1,0,0,1,0,0,43,0,0,1,1,1,1,0,1
241,0,1/1/2020,27000,1,0,0,0,0,0,4,0,0,0,0,1,1,0,0
242,0,1/1/2020,45000,1,1,0,0,0,0,27,1,1,0,1,1,1,0,0
243,0,1/1/2020,2000,0,0,0,0,0,0,19,1,0,0,0,0,1,0,0
244,0,1/1/2020,20000,1,0,0,0,1,0,53,0,0,0,0,1,1,0,0
245,0,1/1/2020,4000,0,0,0,0,0,0,15,0,1,0,1,1,1,0,0
246,1,1/1/2020,74000,1,0,0,1,0,0,22,1,0,0,0,1,1,1,0
247,0,1/1/2020,2000,1,0,1,0,0,0,27,1,0,0,0,1,1,0,0
248,0,1/1/2020,49000,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0
249,1,1/1/2020,75000,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0
250,0,1/1/2020,15000,1,0,0,0,0,0,9,0,1,0,0,1,1,0,0
251,0,1/1/2020,34000,0,0,0,0,0,0,23,0,1,0,1,0,0,0,0
252,0,1/1/2020,75000,0,1,1,1,0,0,46,1,1,1,1,0,0,0,0
253,0,1/1/2020,49000,1,1,0,0,0,0,27,1,1,1,1,1,1,0,0
254,0,1/1/2020,49000,0,1,0,1,0,0,27,0,0,1,1,1,1,0,0
255,0,1/1/2020,54000,1,1,1,1,0,0,17,1,0,1,0,1,1,0,0
256,0,1/1/2020,35000,1,1,1,0,0,0,25,1,0,1,1,1,1,0,0
257,1,1/1/2020,75000,0,1,0,1,0,0,18,1,1,1,1,1,1,0,0
258,1,1/1/2020,75000,1,0,1,1,0,0,17,0,0,1,1,1,1,0,0
259,0,1/1/2020,10000,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0
260,1,1/1/2020,75000,1,1,1,1,0,0,5,1,0,1,0,1,1,1,1
261,0,1/1/2020,13000,1,0,0,0,0,0,34,0,0,0,0,1,1,0,0
262,0,1/1/2020,60000,1,1,1,1,0,0,2,1,0,1,1,1,1,0,0
263,0,1/1/2020,4000,1,0,0,0,0,0,16,0,1,0,1,0,1,0,0
264,1,1/1/2020,75000,0,0,0,1,0,0,4,0,1,0,1,0,1,1,0
265,0,1/1/2020,46000,0,1,1,0,0,0,7,1,1,0,0,1,1,0,0
266,1,1/1/2020,75000,0,0,1,1,0,0,17,0,0,1,1,1,1,0,1
267,0,1/1/2020,17000,0,0,0,0,0,0,23,0,0,0,0,1,1,0,0
268,1,1/1/2020,69000,0,0,1,1,0,0,21,0,0,1,1,1,1,0,0
269,0,1/1/2020,10000,0,0,0,0,0,1,15,0,1,0,1,1,1,0,0
270,1,1/1/2020,75000,0,1,1,1,0,0,2,1,0,0,1,1,1,0,0
271,0,1/1/2020,5000,1,0,0,0,0,0,7,0,1,0,1,1,1,0,0
272,0,1/1/2020,36000,0,0,0,0,0,0,23,0,0,0,1,1,1,0,0
273,0,1/1/2020,40000,0,0,1,0,0,0,29,0,0,0,0,0,0,0,0
274,0,1/1/2020,44000,1,1,0,0,0,0,10,1,1,1,1,0,1,0,0
275,0,1/1/2020,19000,0,0,1,0,0,0,3,0,0,0,0,1,1,0,0
276,0,1/1/2020,27000,0,0,1,0,0,0,3,0,0,1,1,0,0,0,1
277,0,1/1/2020,2000,0,0,0,0,0,0,15,0,1,0,1,1,1,0,0
278,0,1/1/2020,25000,1,0,0,0,0,0,5,0,1,0,1,0,0,0,0
279,0,1/1/2020,21000,1,0,0,1,0,0,8,0,0,1,1,1,1,0,0
280,0,1/1/2020,14000,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0
281,0,1/1/2020,1000,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0
282,0,1/1/2020,34000,1,0,0,1,0,0,9,1,1,1,1,1,1,0,0
283,0,1/1/2020,2000,1,0,0,0,0,0,17,0,1,0,1,0,1,0,0
284,0,1/1/2020,25000,1,1,0,0,0,0,25,1,1,0,0,1,1,0,0
285,0,1/1/2020,74000,0,0,0,0,0,0,20,0,1,0,1,0,1,0,0
286,0,1/1/2020,19000,1,0,0,0,0,0,5,0,0,0,0,1,1,0,0
287,0,1/1/2020,32000,1,1,0,0,0,0,16,0,0,1,1,1,1,0,0
288,0,1/1/2020,18000,0,0,0,0,0,0,32,0,0,0,0,1,1,0,0
289,0,1/1/2020,9000,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0
290,0,1/1/2020,38000,1,1,0,0,0,0,43,1,0,1,1,1,1,0,0
291,1,1/1/2020,75000,1,1,1,1,0,0,24,1,1,1,1,1,1,0,0
292,0,1/1/2020,1000,1,0,0,0,0,0,14,0,1,0,1,1,1,0,0
293,0,1/1/2020,23000,1,0,0,0,0,0,16,0,0,1,1,1,1,0,0
294,0,1/1/2020,1000,0,0,0,0,0,0,16,0,1,0,0,0,1,0,0
295,0,1/1/2020,7000,0,0,0,0,0,0,5,0,1,0,1,0,1,0,0
296,0,1/1/2020,10000,1,0,0,0,1,0,22,0,0,0,0,1,1,0,0
297,1,1/1/2020,75000,0,1,1,1,0,0,7,1,1,1,1,1,1,0,1
298,0,1/1/2020,2000,0,0,0,0,0,0,16,0,1,0,1,0,1,1,0
299,1,1/1/2020,75000,0,1,1,1,0,0,26,1,0,1,1,1,1,0,0
300,0,1/1/2020,39000,1,1,0,1,0,0,10,1,0,1,1,1,1,0,0
301,1,1/1/2020,70000,1,1,1,1,0,0,18,1,1,1,1,1,1,0,0
302,0,1/1/2020,65000,1,0,0,0,0,0,24,0,1,0,1,0,1,0,0
303,0,1/1/2020,35000,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
304,1,1/1/2020,75000,0,1,1,1,0,0,49,1,1,1,1,1,1,0,0
305,0,1/1/2020,49000,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0
306,0,1/1/2020,44000,1,0,0,1,0,0,24,0,0,0,1,1,1,0,0
307,0,1/1/2020,18000,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
308,1,1/1/2020,48000,1,0,0,1,0,0,43,0,0,0,0,1,1,0,1
309,0,1/1/2020,4000,1,0,0,0,0,0,15,0,1,0,0,0,1,0,0
310,0,1/1/2020,2000,1,0,0,0,0,0,7,0,1,0,1,0,0,0,0
311,1,1/1/2020,75000,0,1,1,1,0,0,42,1,0,1,1,1,1,0,0
312,0,1/1/2020,39000,1,0,0,1,0,0,23,0,0,0,1,1,1,0,0
313,1,1/1/2020,75000,1,1,1,1,0,0,11,1,0,1,1,0,0,1,0
314,0,1/1/2020,26000,0,0,0,1,0,0,25,0,0,1,1,1,1,0,0
