poisonous_depvar,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_srfc_abv_ring,stalk_srfc_blw_ring,stalk_color_abv_ring,stalk_color_blw_ring,veil_type,veil_color,ring_number,ring_type,spore_print_color,population,habitat
0,x,f,g,0,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u
0,f,f,y,1,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d
0,b,y,w,1,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m
0,f,f,y,1,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d
0,x,y,n,1,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p
0,b,s,y,1,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g
0,f,s,y,1,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d
0,x,s,w,1,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d
0,f,y,n,1,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,p
1,x,y,n,1,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u
0,f,y,n,1,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,g
0,x,s,n,0,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,n,s,g
1,x,y,w,1,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,g
0,f,f,g,0,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,y,u
0,x,f,g,0,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,s,g
0,x,y,y,1,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g
0,x,s,n,0,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,k,s,g
0,b,s,w,1,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g
0,x,s,w,1,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g
0,f,y,n,1,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,g
0,s,f,n,0,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u
0,x,f,n,0,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,y,u
0,b,s,w,1,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g
0,x,y,y,1,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g
0,x,y,y,1,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m
0,x,s,n,0,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g
0,x,s,w,1,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g
0,f,y,n,1,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,g
0,x,s,y,1,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g
0,b,s,w,1,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g
0,x,y,w,1,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g
0,x,f,n,0,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g
0,b,s,y,1,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g
0,f,y,y,1,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,g
0,x,y,y,1,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p
0,b,y,w,1,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g
0,x,y,y,1,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m
0,x,y,y,1,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,g
0,b,y,w,1,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m
0,b,y,w,1,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m
0,x,s,y,1,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m
0,x,s,y,1,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g
0,s,f,g,0,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,y,u
0,x,f,w,1,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d
0,x,s,y,1,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m
1,x,y,w,1,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u
0,x,y,y,1,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,g
0,s,f,g,0,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,y,u
0,x,y,y,1,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,g
0,x,s,y,1,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d
0,s,f,n,0,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u
1,x,s,w,1,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g
0,x,y,w,1,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m
1,f,y,n,1,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g
0,f,s,g,0,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g
0,x,s,y,1,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m
0,x,s,w,0,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,s,g
0,b,s,y,1,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g
0,f,f,g,0,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,n,a,g
0,x,s,w,1,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g
0,b,s,w,1,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m
0,b,s,w,1,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g
0,b,y,w,1,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m
0,f,s,w,1,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d
0,x,y,y,1,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m
0,f,s,w,1,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d
1,x,y,w,1,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u
0,f,f,w,1,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d
0,x,y,y,1,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g
1,x,s,n,1,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,g
0,b,s,y,1,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,g
0,x,y,n,1,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p
0,b,y,y,1,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m
0,s,f,n,0,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
0,f,y,n,1,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p
0,x,y,y,1,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g
0,x,f,g,0,n,f,w,b,k,t,e,f,f,w,w,p,w,o,e,k,s,g
0,f,f,w,0,n,f,w,b,k,t,e,s,f,w,w,p,w,o,e,n,a,g
0,x,y,y,1,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m
0,b,s,y,1,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,g
0,b,y,w,1,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m
0,x,y,w,1,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g
0,x,s,n,0,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,n,a,g
0,x,y,w,1,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g
0,s,f,n,0,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u
0,x,s,w,1,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d
0,x,y,n,1,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,s,g
0,b,y,y,1,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g
0,x,y,w,1,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g
0,b,y,w,1,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m
0,b,s,y,1,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g
0,b,s,y,1,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m
0,b,y,y,1,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g
0,x,f,n,0,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u
0,f,y,n,1,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,g
0,x,y,w,1,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g
0,f,y,y,1,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,p
0,b,s,w,1,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g
0,b,s,w,1,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,m
0,x,y,n,1,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,g
0,b,s,w,1,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g
0,x,f,g,0,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u
0,b,s,y,1,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g
0,x,f,y,1,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,v,d
0,b,y,y,1,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g
0,f,y,y,1,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,s,g
0,b,y,w,1,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m
0,b,y,w,1,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,n,m
0,b,y,y,1,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g
0,x,y,y,1,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m
0,b,s,y,1,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g
1,x,y,w,1,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u
0,s,f,n,0,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u
0,f,f,n,0,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,v,u
0,x,s,y,1,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m
0,f,y,n,1,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p
1,x,y,w,1,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g
0,b,s,w,1,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m
0,f,f,g,0,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u
0,b,y,y,1,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g
0,x,y,n,1,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,p
0,x,f,w,0,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,s,g
0,x,s,w,1,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d
0,b,s,w,1,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m
0,f,s,y,1,a,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d
0,x,s,y,1,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m
0,f,f,g,0,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,y,u
0,b,s,y,1,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g
0,x,s,w,1,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m
0,x,y,w,1,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m
0,f,s,w,1,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d
0,x,y,y,1,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g
0,b,s,w,1,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g
0,x,s,w,1,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,g
0,x,f,w,0,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g
0,f,y,n,1,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,y,p
1,x,s,w,1,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
0,b,s,w,1,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g
0,b,s,w,1,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m
0,b,y,w,1,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g
0,b,y,w,1,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,g
0,x,s,y,1,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g
0,b,s,w,1,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m
0,x,f,y,1,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d
0,x,f,g,0,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,y,u
0,f,y,y,1,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g
0,b,s,w,1,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m
0,x,s,y,1,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g
0,x,y,y,1,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,g
0,x,y,w,1,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g
0,s,f,g,0,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u
0,x,s,w,1,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m
1,x,s,w,1,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,g
0,x,y,y,1,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,g
0,f,f,w,1,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,n,v,d
0,x,y,w,1,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m
0,b,y,w,1,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g
0,x,s,w,1,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g
0,x,s,y,1,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g
1,x,y,n,1,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u
0,b,s,y,1,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g
0,x,f,g,0,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,y,u
1,x,y,w,1,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u
0,x,y,y,1,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,p
0,f,f,n,0,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,u
0,b,s,w,1,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g
0,x,f,w,1,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d
0,x,y,w,1,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g
0,b,y,y,1,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g
0,x,y,y,1,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,s,g
0,f,y,y,1,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,p
0,f,y,y,1,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p
0,x,s,w,1,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,s,g
0,x,s,w,1,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m
1,x,s,w,1,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,v,u
0,f,f,w,1,a,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d
0,x,s,w,1,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g
0,x,s,w,1,l,f,w,n,p,t,b,s,s,w,w,p,w,o,p,u,v,d
0,x,y,w,1,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m
0,f,y,y,1,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,k,y,p
0,x,s,n,0,n,f,w,b,p,t,e,f,s,w,w,p,w,o,e,k,s,g
0,f,y,y,1,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,g
1,x,s,n,1,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,s,g
0,s,f,n,0,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,n,v,u
0,b,y,y,1,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,m
0,b,s,w,1,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g
0,b,y,w,1,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m
0,f,f,n,0,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
0,x,s,w,1,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,k,n,m
0,b,y,w,1,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,g
0,b,y,w,1,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m
0,f,y,n,1,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,g
1,x,y,w,1,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,v,g
0,x,s,w,1,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,g
0,x,y,w,1,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m
0,f,f,w,1,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d
0,f,f,g,0,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,v,u
0,f,s,g,0,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,a,g
0,x,y,y,1,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m
0,b,s,w,1,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m
1,f,y,n,1,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,s,u
0,x,s,w,1,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m
1,f,s,n,1,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,k,v,u
0,x,y,w,1,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g
0,x,y,y,1,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m
0,f,y,y,1,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,s,p
0,x,y,n,1,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,p
0,f,y,n,1,a,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,y,g
0,x,y,w,1,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m
0,f,f,n,0,n,f,w,b,h,t,e,s,s,w,w,p,w,o,e,k,s,g
0,x,s,y,1,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,m
1,x,y,w,1,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,s,g
0,b,y,y,1,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m
0,s,f,n,0,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,v,u
0,x,s,y,1,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m
0,b,y,w,1,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,m
0,f,y,n,1,a,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,s,g
0,b,y,y,1,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m
0,b,y,w,1,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,g
0,x,y,n,1,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,n,y,p
0,f,f,g,0,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,n,y,u
0,x,f,g,0,n,f,c,n,g,e,e,s,s,w,w,p,w,o,p,k,y,u
0,b,y,y,1,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g
0,x,s,y,1,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m
0,b,y,w,1,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,g
0,x,s,w,1,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m
0,b,s,y,1,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m
0,x,s,y,1,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,k,s,m
