age,date,workclass,education,educational_num,marital_status,race,gender,hours_per_week,income_depvar
36,01/01/10,Local-gov,Bachelors,13,Married-civ-spouse,White,Male,40,1
22,01/01/10,Private,5th-6th,3,Never-married,White,Male,50,0
17,01/01/10,Private,10th,6,Never-married,White,Male,40,0
20,01/01/10,Private,HS-grad,9,Never-married,White,Male,40,0
65,01/01/10,Private,Masters,14,Married-civ-spouse,White,Male,50,1
44,01/01/10,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,White,Male,45,1
36,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,40,0
29,01/01/10,Private,11th,7,Married-civ-spouse,White,Male,40,0
20,01/01/10,State-gov,Some-college,10,Never-married,White,Male,32,0
28,01/01/10,Private,Assoc-voc,11,Married-civ-spouse,White,Female,36,1
39,01/01/10,Private,7th-8th,4,Married-civ-spouse,White,Male,40,0
54,01/01/10,Private,Some-college,10,Married-civ-spouse,White,Male,50,0
52,01/01/10,Private,11th,7,Separated,Black,Female,18,0
56,01/01/10,Self-emp-inc,HS-grad,9,Widowed,White,Female,50,0
18,01/01/10,Private,Some-college,10,Never-married,White,Male,20,0
39,01/01/10,Private,HS-grad,9,Divorced,Black,Male,40,0
21,01/01/10,Private,Some-college,10,Never-married,White,Female,24,0
22,01/01/10,Private,HS-grad,9,Never-married,White,Male,60,1
38,01/01/10,Private,9th,5,Married-spouse-absent,White,Male,54,0
21,01/01/10,Private,Some-college,10,Never-married,White,Female,40,0
63,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,40,0
34,01/01/10,Local-gov,Bachelors,13,Married-civ-spouse,White,Male,50,1
42,01/01/10,Self-emp-inc,HS-grad,9,Married-civ-spouse,White,Male,50,1
33,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,40,0
30,01/01/10,Private,Bachelors,13,Never-married,White,Female,50,0
39,01/01/10,Private,Some-college,10,Divorced,White,Male,40,0
26,01/01/10,Private,Masters,14,Never-married,White,Female,40,0
33,01/01/10,Private,HS-grad,9,Never-married,White,Female,40,0
47,01/01/10,Local-gov,HS-grad,9,Divorced,White,Female,40,0
41,01/01/10,Private,Bachelors,13,Never-married,White,Female,40,0
41,01/01/10,Self-emp-inc,Assoc-acdm,12,Married-civ-spouse,White,Male,60,1
19,01/01/10,Private,Some-college,10,Never-married,White,Male,20,0
46,01/01/10,Private,HS-grad,9,Separated,White,Male,40,0
43,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,48,0
55,01/01/10,Private,Some-college,10,Married-civ-spouse,White,Male,45,1
46,01/01/10,Private,Assoc-voc,11,Married-civ-spouse,White,Male,40,0
30,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,40,0
21,01/01/10,Private,Some-college,10,Separated,White,Female,40,0
46,01/01/10,Private,Some-college,10,Married-civ-spouse,Other,Male,40,0
17,01/01/10,?,10th,6,Never-married,White,Male,40,0
41,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,50,0
69,01/01/10,Self-emp-inc,HS-grad,9,Married-civ-spouse,White,Male,30,0
50,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,40,0
20,01/01/10,Private,Some-college,10,Never-married,White,Female,40,0
45,01/01/10,Self-emp-inc,Some-college,10,Married-civ-spouse,White,Male,50,0
23,01/01/10,Private,Bachelors,13,Never-married,White,Male,40,0
24,01/01/10,Private,Some-college,10,Separated,White,Male,40,0
44,01/01/10,Self-emp-inc,HS-grad,9,Married-civ-spouse,White,Male,50,1
31,01/01/10,Self-emp-not-inc,Some-college,10,Married-civ-spouse,White,Male,50,0
43,01/01/10,Private,HS-grad,9,Separated,White,Female,44,0
20,01/01/10,Federal-gov,11th,7,Never-married,White,Female,10,0
55,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,56,1
24,01/01/10,Federal-gov,Some-college,10,Never-married,White,Male,40,0
41,01/01/10,?,Masters,14,Married-civ-spouse,White,Female,10,1
59,01/01/10,Private,Bachelors,13,Never-married,White,Female,25,0
49,01/01/10,Federal-gov,7th-8th,4,Never-married,Black,Male,20,0
33,01/01/10,Private,Masters,14,Married-civ-spouse,White,Female,10,1
59,01/01/10,Federal-gov,Bachelors,13,Divorced,White,Male,40,0
34,01/01/10,Private,Masters,14,Never-married,Amer-Indian-Eskimo,Male,40,0
20,01/01/10,Private,HS-grad,9,Never-married,White,Male,40,0
25,01/01/10,Private,Bachelors,13,Never-married,White,Female,40,0
49,01/01/10,Private,10th,6,Married-civ-spouse,White,Male,40,0
59,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,40,1
20,01/01/10,Private,HS-grad,9,Never-married,White,Female,40,0
51,01/01/10,?,Some-college,10,Married-civ-spouse,White,Female,18,0
33,01/01/10,Private,Some-college,10,Never-married,Black,Female,35,0
22,01/01/10,Private,Some-college,10,Never-married,Black,Male,39,0
58,01/01/10,Self-emp-not-inc,9th,5,Widowed,White,Female,40,0
52,01/01/10,Local-gov,HS-grad,9,Widowed,White,Female,28,0
36,01/01/10,Private,10th,6,Separated,White,Female,40,0
41,01/01/10,Local-gov,HS-grad,9,Married-civ-spouse,White,Male,40,0
28,01/01/10,Private,HS-grad,9,Never-married,White,Male,40,0
19,01/01/10,Private,Some-college,10,Never-married,Black,Male,16,0
18,01/01/10,Private,HS-grad,9,Never-married,White,Female,28,0
18,01/01/10,Private,HS-grad,9,Never-married,White,Female,48,0
28,01/01/10,Private,Some-college,10,Married-civ-spouse,White,Male,40,0
29,01/01/10,Private,Assoc-voc,11,Married-civ-spouse,White,Male,40,1
20,01/01/10,?,HS-grad,9,Never-married,White,Female,20,0
40,01/01/10,Private,Some-college,10,Married-civ-spouse,White,Male,40,0
26,01/01/10,Private,HS-grad,9,Never-married,White,Male,40,0
46,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,40,0
23,01/01/10,Private,11th,7,Never-married,White,Female,24,0
44,01/01/10,Private,HS-grad,9,Married-spouse-absent,White,Female,40,0
43,01/01/10,Private,Bachelors,13,Divorced,White,Female,40,1
31,01/01/10,Local-gov,Bachelors,13,Divorced,White,Female,60,0
18,01/01/10,Private,Some-college,10,Never-married,White,Female,25,0
19,01/01/10,Private,Some-college,10,Never-married,White,Male,30,0
41,01/01/10,Private,Some-college,10,Divorced,White,Female,40,0
41,01/01/10,Private,HS-grad,9,Divorced,White,Female,40,0
69,01/01/10,Private,HS-grad,9,Divorced,White,Female,25,0
48,01/01/10,Federal-gov,Doctorate,16,Married-civ-spouse,White,Female,40,1
28,01/01/10,Private,HS-grad,9,Never-married,White,Male,40,0
27,01/01/10,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,White,Male,60,1
41,01/01/10,Private,Masters,14,Married-civ-spouse,White,Male,50,1
41,01/01/10,Private,Some-college,10,Married-civ-spouse,White,Male,40,0
24,01/01/10,Private,HS-grad,9,Never-married,Black,Female,40,0
20,01/01/10,?,HS-grad,9,Never-married,White,Female,40,0
42,01/01/10,Self-emp-inc,Doctorate,16,Married-civ-spouse,White,Male,41,1
57,01/01/10,Private,HS-grad,9,Married-civ-spouse,Black,Male,48,0
30,01/01/10,Private,Assoc-acdm,12,Never-married,White,Female,40,0
36,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,60,1
49,01/01/10,Private,7th-8th,4,Married-civ-spouse,Black,Male,40,0
33,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Female,35,0
23,01/01/10,Private,10th,6,Married-civ-spouse,White,Male,40,0
46,01/01/10,Private,Masters,14,Married-civ-spouse,White,Male,40,0
18,01/01/10,Private,Some-college,10,Never-married,Asian-Pac-Islander,Female,22,0
40,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,55,1
43,01/01/10,Self-emp-inc,HS-grad,9,Married-civ-spouse,White,Male,45,1
34,01/01/10,Private,Masters,14,Never-married,White,Female,30,0
47,01/01/10,Self-emp-not-inc,HS-grad,9,Widowed,White,Female,30,0
44,01/01/10,Private,Assoc-voc,11,Widowed,White,Female,30,0
33,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,40,1
55,01/01/10,Private,Bachelors,13,Married-civ-spouse,White,Male,50,1
19,01/01/10,Private,HS-grad,9,Never-married,White,Male,30,0
28,01/01/10,Private,Some-college,10,Never-married,Black,Male,14,0
27,01/01/10,Private,11th,7,Married-civ-spouse,Black,Female,32,0
50,01/01/10,Private,7th-8th,4,Married-civ-spouse,White,Male,20,0
22,01/01/10,Private,11th,7,Never-married,White,Male,40,0
40,01/01/10,State-gov,Bachelors,13,Married-civ-spouse,White,Male,45,1
25,01/01/10,Private,Some-college,10,Never-married,White,Female,40,0
26,01/01/10,Local-gov,HS-grad,9,Never-married,White,Male,40,0
22,01/01/10,Private,Bachelors,13,Never-married,White,Male,25,0
42,01/01/10,Private,Some-college,10,Never-married,Black,Female,40,0
38,01/01/10,Self-emp-inc,Bachelors,13,Divorced,White,Male,40,0
55,01/01/10,Private,11th,7,Married-civ-spouse,White,Male,30,0
32,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,40,0
22,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,45,0
29,01/01/10,Private,Bachelors,13,Never-married,White,Male,40,0
46,01/01/10,State-gov,Masters,14,Married-civ-spouse,White,Male,45,1
31,01/01/10,Private,Some-college,10,Married-civ-spouse,White,Male,40,1
58,01/01/10,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,White,Male,16,1
42,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,45,0
18,01/01/10,Private,HS-grad,9,Never-married,White,Male,25,0
58,01/01/10,Local-gov,HS-grad,9,Divorced,White,Male,33,0
54,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,40,1
34,01/01/10,Private,Masters,14,Never-married,White,Male,40,0
26,01/01/10,Private,Bachelors,13,Never-married,White,Female,40,0
61,01/01/10,Private,12th,8,Married-civ-spouse,White,Male,60,0
48,01/01/10,Local-gov,Masters,14,Separated,Black,Female,40,0
36,01/01/10,Private,Some-college,10,Married-civ-spouse,White,Male,45,1
24,01/01/10,Private,Assoc-voc,11,Married-civ-spouse,White,Male,45,0
40,01/01/10,Private,Some-college,10,Married-civ-spouse,White,Male,37,0
33,01/01/10,Self-emp-inc,HS-grad,9,Married-civ-spouse,White,Male,50,1
37,01/01/10,Private,Some-college,10,Married-civ-spouse,White,Male,40,1
34,01/01/10,Private,Masters,14,Never-married,White,Male,40,0
56,01/01/10,Self-emp-inc,Some-college,10,Married-civ-spouse,White,Male,40,1
28,01/01/10,?,HS-grad,9,Married-civ-spouse,White,Female,38,1
37,01/01/10,Private,Bachelors,13,Widowed,White,Female,55,0
44,01/01/10,Private,HS-grad,9,Divorced,Black,Female,40,0
64,01/01/10,?,Some-college,10,Married-civ-spouse,White,Male,8,0
54,01/01/10,Private,HS-grad,9,Divorced,White,Male,45,0
23,01/01/10,Private,HS-grad,9,Never-married,White,Male,50,0
34,01/01/10,State-gov,Bachelors,13,Married-spouse-absent,Black,Male,40,0
22,01/01/10,Private,HS-grad,9,Never-married,White,Female,45,0
33,01/01/10,Private,Bachelors,13,Married-civ-spouse,White,Male,40,1
39,01/01/10,Private,Bachelors,13,Separated,White,Male,50,1
47,01/01/10,Private,Some-college,10,Divorced,Black,Female,37,0
79,01/01/10,?,7th-8th,4,Widowed,White,Male,40,0
26,01/01/10,Private,HS-grad,9,Never-married,Black,Female,55,0
31,01/01/10,Private,Some-college,10,Divorced,White,Female,40,0
44,01/01/10,Private,Some-college,10,Never-married,White,Male,45,0
42,01/01/10,Self-emp-inc,Prof-school,15,Married-civ-spouse,White,Female,50,1
19,01/01/10,Private,HS-grad,9,Never-married,White,Female,40,0
27,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,40,1
51,01/01/10,Local-gov,Some-college,10,Married-civ-spouse,White,Male,40,1
28,01/01/10,Self-emp-inc,Bachelors,13,Married-civ-spouse,White,Male,50,0
57,01/01/10,Private,Bachelors,13,Divorced,White,Male,45,0
45,01/01/10,Local-gov,Bachelors,13,Divorced,White,Female,40,0
50,01/01/10,Private,Assoc-voc,11,Married-civ-spouse,White,Male,40,1
34,01/01/10,Self-emp-inc,Bachelors,13,Married-civ-spouse,White,Male,54,0
45,01/01/10,Private,7th-8th,4,Married-civ-spouse,Black,Male,40,0
73,01/01/10,Local-gov,HS-grad,9,Married-civ-spouse,White,Male,20,0
34,01/01/10,Private,Bachelors,13,Married-civ-spouse,White,Female,50,1
31,01/01/10,Private,Some-college,10,Married-civ-spouse,White,Male,55,1
19,01/01/10,Private,11th,7,Never-married,White,Male,12,0
25,01/01/10,Private,Some-college,10,Never-married,White,Female,50,0
38,01/01/10,Federal-gov,Assoc-voc,11,Divorced,White,Female,40,0
39,01/01/10,Private,Bachelors,13,Married-civ-spouse,White,Male,40,0
23,01/01/10,Private,Bachelors,13,Never-married,Black,Female,32,0
49,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,40,0
33,01/01/10,Federal-gov,HS-grad,9,Never-married,White,Male,32,0
21,01/01/10,Private,5th-6th,3,Never-married,White,Male,38,0
31,01/01/10,Private,Assoc-voc,11,Separated,White,Male,40,0
23,01/01/10,Private,Bachelors,13,Never-married,White,Female,45,0
34,01/01/10,Private,Bachelors,13,Married-civ-spouse,Asian-Pac-Islander,Male,40,0
25,01/01/10,Private,HS-grad,9,Never-married,Asian-Pac-Islander,Female,40,0
39,01/01/10,Private,HS-grad,9,Never-married,White,Male,40,0
52,01/01/10,Self-emp-inc,HS-grad,9,Married-civ-spouse,White,Male,40,1
63,01/01/10,Local-gov,9th,5,Married-civ-spouse,White,Male,40,1
41,01/01/10,Private,Some-college,10,Married-civ-spouse,White,Male,40,0
46,01/01/10,Private,Bachelors,13,Married-civ-spouse,White,Male,38,1
53,01/01/10,Local-gov,HS-grad,9,Married-civ-spouse,White,Male,40,0
25,01/01/10,?,9th,5,Separated,White,Female,40,0
77,01/01/10,?,Some-college,10,Married-civ-spouse,White,Male,35,0
18,01/01/10,Private,12th,8,Never-married,White,Male,40,0
38,01/01/10,Private,Prof-school,15,Married-civ-spouse,White,Male,50,0
55,01/01/10,Private,Masters,14,Never-married,Asian-Pac-Islander,Female,50,0
34,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,40,1
80,01/01/10,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,White,Male,30,0
34,01/01/10,Private,Assoc-voc,11,Divorced,White,Female,60,0
52,01/01/10,Private,Some-college,10,Married-civ-spouse,White,Male,40,0
42,01/01/10,Private,HS-grad,9,Never-married,Black,Female,28,0
26,01/01/10,Private,Some-college,10,Never-married,White,Female,40,0
31,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,40,0
25,01/01/10,Local-gov,HS-grad,9,Never-married,White,Female,35,0
55,01/01/10,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,White,Male,60,0
19,01/01/10,Private,Some-college,10,Never-married,White,Female,12,0
62,01/01/10,Self-emp-not-inc,Some-college,10,Married-civ-spouse,White,Male,32,0
22,01/01/10,Federal-gov,Some-college,10,Never-married,White,Female,20,0
39,01/01/10,?,HS-grad,9,Married-civ-spouse,White,Female,50,0
35,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,40,0
28,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Female,40,0
47,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,70,1
44,01/01/10,State-gov,HS-grad,9,Married-civ-spouse,White,Male,40,0
21,01/01/10,Private,Some-college,10,Never-married,White,Male,15,0
35,01/01/10,Private,Assoc-voc,11,Never-married,White,Male,50,0
24,01/01/10,Private,Bachelors,13,Married-civ-spouse,White,Male,40,1
42,01/01/10,Federal-gov,Bachelors,13,Never-married,White,Male,40,0
28,01/01/10,Private,Bachelors,13,Never-married,White,Male,50,0
21,01/01/10,Private,Some-college,10,Never-married,White,Male,35,0
62,01/01/10,Federal-gov,Some-college,10,Divorced,Black,Male,40,0
39,01/01/10,Private,HS-grad,9,Never-married,Black,Female,40,0
30,01/01/10,State-gov,HS-grad,9,Never-married,White,Male,40,0
72,01/01/10,Self-emp-not-inc,Prof-school,15,Never-married,White,Male,20,0
50,01/01/10,Private,Some-college,10,Married-civ-spouse,White,Female,50,0
28,01/01/10,Local-gov,Masters,14,Never-married,White,Male,40,0
29,01/01/10,Private,Some-college,10,Never-married,White,Female,40,0
26,01/01/10,Private,Bachelors,13,Never-married,White,Female,40,0
27,01/01/10,Private,Masters,14,Never-married,White,Female,40,0
29,01/01/10,Private,Some-college,10,Married-civ-spouse,White,Male,40,1
61,01/01/10,?,HS-grad,9,Married-civ-spouse,White,Male,40,0
29,01/01/10,Private,10th,6,Married-civ-spouse,White,Male,25,0
21,01/01/10,?,Some-college,10,Never-married,White,Female,30,0
31,01/01/10,Private,11th,7,Married-civ-spouse,White,Female,20,0
25,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,75,0
58,01/01/10,Private,10th,6,Married-civ-spouse,White,Male,40,1
64,01/01/10,Private,Some-college,10,Married-civ-spouse,White,Female,40,1
46,01/01/10,State-gov,Masters,14,Never-married,White,Male,38,0
53,01/01/10,?,HS-grad,9,Married-civ-spouse,White,Male,35,1
19,01/01/10,Private,HS-grad,9,Never-married,Amer-Indian-Eskimo,Female,35,0
42,01/01/10,Private,HS-grad,9,Divorced,Black,Male,52,0
18,01/01/10,Private,11th,7,Never-married,White,Male,24,0
58,01/01/10,Self-emp-inc,Bachelors,13,Married-civ-spouse,White,Male,50,1
20,01/01/10,Private,Some-college,10,Never-married,Black,Male,60,0
35,01/01/10,Federal-gov,HS-grad,9,Married-civ-spouse,White,Male,40,1
32,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,38,1
23,01/01/10,Private,HS-grad,9,Never-married,White,Female,25,0
31,01/01/10,Private,Some-college,10,Divorced,White,Female,40,0
33,01/01/10,Private,Bachelors,13,Married-civ-spouse,Black,Male,55,0
41,01/01/10,Private,Some-college,10,Never-married,White,Female,48,0
22,01/01/10,Private,HS-grad,9,Never-married,Black,Male,40,0
46,01/01/10,Private,Some-college,10,Married-civ-spouse,White,Male,40,1
61,01/01/10,Federal-gov,Some-college,10,Married-civ-spouse,Black,Male,40,0
30,01/01/10,Private,HS-grad,9,Never-married,Black,Male,40,0
42,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,55,1
63,01/01/10,Private,10th,6,Married-civ-spouse,White,Male,40,0
26,01/01/10,Private,Some-college,10,Married-civ-spouse,White,Male,40,0
42,01/01/10,Private,10th,6,Divorced,White,Female,40,0
23,01/01/10,Private,Some-college,10,Married-civ-spouse,White,Male,40,0
25,01/01/10,Private,HS-grad,9,Never-married,White,Male,40,0
30,01/01/10,Private,9th,5,Married-civ-spouse,White,Male,32,1
23,01/01/10,Private,HS-grad,9,Never-married,White,Male,40,0
34,01/01/10,Self-emp-not-inc,Assoc-voc,11,Never-married,White,Male,60,1
30,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,48,0
39,01/01/10,Private,Some-college,10,Married-civ-spouse,White,Male,40,1
30,01/01/10,Private,11th,7,Never-married,White,Male,38,0
38,01/01/10,Local-gov,Some-college,10,Divorced,White,Female,38,0
26,01/01/10,Private,HS-grad,9,Divorced,White,Female,40,0
20,01/01/10,Private,Some-college,10,Never-married,White,Male,16,0
37,01/01/10,Local-gov,Bachelors,13,Never-married,Black,Male,40,0
33,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Female,40,0
24,01/01/10,Private,Bachelors,13,Never-married,White,Male,40,0
42,01/01/10,Self-emp-inc,Bachelors,13,Married-civ-spouse,White,Male,60,1
51,01/01/10,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Asian-Pac-Islander,Male,84,0
56,01/01/10,Local-gov,Assoc-acdm,12,Married-civ-spouse,White,Male,45,1
22,01/01/10,Private,Some-college,10,Never-married,White,Male,40,0
52,01/01/10,Self-emp-not-inc,Some-college,10,Married-civ-spouse,White,Male,60,0
44,01/01/10,Private,Bachelors,13,Divorced,White,Female,45,1
34,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Female,35,0
51,01/01/10,Private,Some-college,10,Divorced,White,Male,42,1
20,01/01/10,?,Some-college,10,Never-married,White,Male,40,0
19,01/01/10,Private,Some-college,10,Never-married,White,Female,25,0
37,01/01/10,Private,Bachelors,13,Married-civ-spouse,White,Male,40,1
68,01/01/10,Private,HS-grad,9,Married-civ-spouse,Black,Male,40,1
22,01/01/10,Private,Some-college,10,Divorced,White,Male,40,0
56,01/01/10,Self-emp-inc,Bachelors,13,Married-civ-spouse,White,Male,40,0
37,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,40,0
52,01/01/10,Private,1st-4th,2,Married-civ-spouse,White,Male,40,0
26,01/01/10,Private,HS-grad,9,Separated,White,Male,40,0
33,01/01/10,Private,Masters,14,Married-civ-spouse,White,Male,50,0
45,01/01/10,Local-gov,Masters,14,Divorced,White,Female,42,0
18,01/01/10,Private,11th,7,Never-married,White,Male,15,0
43,01/01/10,Self-emp-not-inc,Some-college,10,Married-civ-spouse,White,Male,60,1
64,01/01/10,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,White,Male,50,1
18,01/01/10,Private,HS-grad,9,Never-married,White,Male,20,0
20,01/01/10,?,Some-college,10,Never-married,White,Male,45,0
57,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,40,1
41,01/01/10,Private,HS-grad,9,Divorced,White,Female,42,0
34,01/01/10,Private,Masters,14,Married-civ-spouse,White,Male,50,1
19,01/01/10,Private,HS-grad,9,Never-married,White,Female,40,0
44,01/01/10,Private,9th,5,Divorced,White,Female,55,0
56,01/01/10,Private,10th,6,Widowed,White,Female,40,0
36,01/01/10,Self-emp-inc,HS-grad,9,Married-civ-spouse,White,Male,80,0
48,01/01/10,Private,Bachelors,13,Divorced,White,Female,48,0
29,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,40,1
33,01/01/10,Private,Bachelors,13,Never-married,White,Male,40,0
31,01/01/10,Private,5th-6th,3,Married-civ-spouse,White,Male,40,0
39,01/01/10,Private,Masters,14,Married-civ-spouse,White,Male,45,1
66,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,40,1
27,01/01/10,Private,Bachelors,13,Never-married,White,Female,50,1
39,01/01/10,Private,HS-grad,9,Divorced,Black,Female,40,1
59,01/01/10,Private,7th-8th,4,Married-civ-spouse,White,Male,50,1
26,01/01/10,Private,HS-grad,9,Never-married,White,Female,40,0
31,01/01/10,Private,Assoc-voc,11,Divorced,White,Male,40,0
45,01/01/10,?,HS-grad,9,Widowed,White,Female,40,0
23,01/01/10,Private,HS-grad,9,Never-married,White,Male,30,0
36,01/01/10,Local-gov,HS-grad,9,Divorced,White,Female,40,0
34,01/01/10,Private,Some-college,10,Married-civ-spouse,White,Female,12,1
32,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,84,1
37,01/01/10,Private,Bachelors,13,Married-civ-spouse,Black,Male,50,1
33,01/01/10,Private,Bachelors,13,Never-married,White,Male,45,0
50,01/01/10,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,White,Male,80,1
32,01/01/10,Federal-gov,Assoc-acdm,12,Never-married,Black,Male,40,0
35,01/01/10,Private,Bachelors,13,Never-married,Black,Female,40,0
37,01/01/10,Private,11th,7,Married-civ-spouse,White,Male,40,0
44,01/01/10,Private,Some-college,10,Divorced,White,Male,60,0
57,01/01/10,Private,Some-college,10,Divorced,White,Male,25,0
29,01/01/10,Local-gov,Some-college,10,Married-civ-spouse,White,Female,40,0
55,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,50,1
43,01/01/10,Self-emp-inc,Prof-school,15,Married-civ-spouse,White,Male,25,1
43,01/01/10,Private,Some-college,10,Married-civ-spouse,White,Male,70,0
45,01/01/10,Self-emp-not-inc,Some-college,10,Married-civ-spouse,White,Male,60,1
33,01/01/10,Self-emp-not-inc,Masters,14,Married-civ-spouse,White,Female,8,0
26,01/01/10,Private,10th,6,Divorced,White,Female,40,0
23,01/01/10,Private,Some-college,10,Married-civ-spouse,White,Male,68,0
41,01/01/10,Private,7th-8th,4,Separated,White,Male,40,0
24,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,40,0
47,01/01/10,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,White,Male,44,0
34,01/01/10,Self-emp-not-inc,HS-grad,9,Never-married,White,Male,45,0
40,01/01/10,Private,HS-grad,9,Married-civ-spouse,White,Male,40,1
28,01/01/10,Private,Bachelors,13,Married-civ-spouse,Asian-Pac-Islander,Female,40,0
24,01/01/10,Private,HS-grad,9,Never-married,Asian-Pac-Islander,Female,40,0
73,01/01/10,?,Some-college,10,Married-civ-spouse,White,Male,10,0
23,01/01/10,Private,HS-grad,9,Never-married,White,Male,15,0
43,01/01/10,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Black,Male,40,1
